File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,,
3026,15,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5189,5192,Whole,4x4 Butt Box,Good,3.8,,,,
3026,16,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5192,5195,Whole,4x4 Butt Box,Good,3.8,,,,
3026,17,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5195,5198,Whole,4x4 Butt Box,Good,3.8,,,,
3026,18,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5198,5201,Whole,4x4 Butt Box,Good,3.8,,,,
3026,19,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5201,5204,Whole,4x4 Butt Box,Good,3.8,,,,
3026,20,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5204,5205,Whole,4x4 Butt Box,Good,3.8,,,,
3026,21,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5205,5208,Whole,4x4 Butt Box,Good,3.8,,,,
3026,22,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5208,5211,Whole,4x4 Butt Box,Good,3.8,,,,
3026,23,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5211,5214,Whole,4x4 Butt Box,Good,3.8,,,,
3026,24,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5214,5217,Whole,4x4 Butt Box,Good,3.8,,,,
3026,25,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5217,5220,Whole,4x4 Butt Box,Good,3.8,,,,
3026,26,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5220,5223,Whole,4x4 Butt Box,Good,3.8,,,,
3026,27,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5223,5226,Whole,4x4 Butt Box,Good,3.8,,,,
3026,28,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5226,5229,Whole,4x4 Butt Box,Good,3.8,,,,
3026,29,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5229,5232,Whole,4x4 Butt Box,Good,3.8,,,,
3026,30,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5232,5235,Whole,4x4 Butt Box,Good,3.8,,,,
3026,31,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5235,5238,Whole,4x4 Butt Box,Good,3.8,,,,
3026,32,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5238,5241,Whole,4x4 Butt Box,Good,3.8,,,,
3026,33,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5241,5244,Whole,4x4 Butt Box,Good,3.8,,,,
3026,34,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5244,5247,Whole,4x4 Butt Box,Good,3.8,,,,
3026,35,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5247,5248,Whole,4x4 Butt Box,Good,3.8,,,,
3026,36,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5248,5250.5,Whole,4x4 Butt Box,Good,3.8,,,,
3027,,3,,35147200030000,Sullivan,Tucker,1,25,28,N,10,W,NESE,,,Alfalfa,OK,Red Fork,,4980,4988,Whole,,,4,,,,
3028,8,,,35081224610000,Sullivan,Canada E J,1,27,16,N,2,E,NWNE,35.83919,97.07549,Lincoln,OK,Skinner,Red Mound West,4393,4416,Whole,,,4,,,,
3029,20,,,35125221390000,Sullivan,Billie Mae,1,1,9,N,2,E,NESE,35.2801,97.05692,Pottawatomie,OK,Red Fork,Centerpoint,521,5261,Whole,,,4,,,,
3030,3,,,35071228480000,Sullivan,Sheridan,1,12,26,N,1,E,SWSE,36.73958,97.14427,Kay,OK,Red Fork,Wildcat,3776,3784,Whole,,,4,,,,
3031,16,,,35125224120000,Sullivan,Roark,1,2,9,N,2,E,NENE,35.27352,97.05689,Pottawatomie,OK,Red Fork,Centerpoint,5226,5274,Whole,,,3.8,,,,
3032,11,,,35125220520000,Sullivan,Haley,1-33,33,10,N,2,E,SENE,35.29781,97.09225,Pottawatomie,OK,Red Fork,Shawnee Lake,5242,5273,Whole,,,4,,,,
3032,12,,,35125220520000,Sullivan,Haley,1-33,33,10,N,2,E,SENE,35.29781,97.09225,Pottawatomie,OK,Red Fork,Shawnee Lake,5949,5977,Whole,,,4,,,,
3033,11,,,35125222080000,Sullivan,Donna Force,1,33,10,N,2,E,SWNE,35.29947,97.09446,Pottawatomie,OK,Red Fork,Shawnee Lake,5358,5387,Slab,,,4,,,,
3034,10,,,35125224920000,Sullivan,Reynolds,1,11,9,N,2,E,SWSE,35.27571,97.05986,Pottawatomie,OK,Red Fork,Centerpoint,5256,5285,Whole,,,4,,,,
3035,8,,,35125226840000,Sullivan,Reynolds,2,11,9,N,2,E,NWNE,35.27261,97.0591,Pottawatomie,OK,Red Fork,Centerpoint,5196,5218,Whole,,,4,,,,
3036,1,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5152,5155,Whole,4x4 Butt Box,Good,4,,,,
3036,2,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5155,5158,Whole,4x4 Butt Box,Good,4,,,,
3036,3,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5158,5161,Whole,4x4 Butt Box,Good,4,,,,
3036,4,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5161,5164,Whole,4x4 Butt Box,Good,4,,,,
3036,5,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5164,5167,Whole,4x4 Butt Box,Good,4,,,,
3036,6,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5167,5170,Whole,4x4 Butt Box,Good,4,,,,
3036,7,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5170,5173,Whole,4x4 Butt Box,Good,4,,,,
